trade_date,nav_satellite_full
2023-12-15,1280527.7444297618
2023-12-18,1279397.86496253
2023-12-19,1279306.164054409
2023-12-20,1277360.7314829163
2023-12-21,1276503.9061111875
2023-12-22,1277816.8239597194
2023-12-25,1279086.0385891793
2023-12-26,1277757.4000097564
2023-12-27,1280902.8480567175
2023-12-28,1288247.6776090276
2023-12-29,1291328.658648177
2024-01-02,1292218.5328896476
2024-01-03,1290449.311818805
2024-01-04,1289422.8832331505
2024-01-05,1287895.0793752274
2024-01-08,1281683.932608702
2024-01-09,1284086.7723433736
2024-01-10,1282087.8813027923
2024-01-11,1284839.5753012067
2024-01-12,1283742.2767293053
2024-01-15,1283967.5909200758
2024-01-16,1284368.9297267052
2024-01-17,1278098.866790066
2024-01-18,1278459.6013213997
2024-01-19,1279407.6799851716
2024-01-22,1272002.7976442343
2024-01-23,1273621.6157263308
2024-01-24,1276580.496589995
2024-01-25,1283332.6250451924
2024-01-26,1283746.0610472034
2024-01-29,1279993.457399662
2024-01-30,1277814.616890686
2024-01-31,1273982.2856144414
2024-02-01,1272603.616139988
2024-02-02,1270567.6963830944
2024-02-05,1268893.1749086545
2024-02-06,1279072.1461252435
2024-02-07,1284010.6044337244
2024-02-08,1289567.6195576983
2024-02-19,1292020.519339943
2024-02-20,1294042.0355042873
2024-02-21,1296085.3230890594
2024-02-22,1299863.6500126142
2024-02-23,1302203.7976846343
2024-02-26,1299808.1147525634
2024-02-27,1303565.6522025475
2024-02-28,1298501.1736932555
2024-02-29,1303609.0396675249
2024-03-01,1305871.074819723
2024-03-04,1308498.3582267798
2024-03-05,1309424.3802388867
2024-03-06,1311530.5064808158
2024-03-07,1311682.2836286272
2024-03-08,1313688.042137345
2024-03-11,1316035.1980159464
2024-03-12,1313728.6760142443
2024-03-13,1312406.099883648
2024-03-14,1311287.3096457394
2024-03-15,1313769.4047641212
2024-03-18,1315788.0044865177
2024-03-19,1315349.3479227442
2024-03-20,1316703.373203367
2024-03-21,1320203.892460658
2024-03-22,1317276.4237845931
2024-03-25,1315323.310754242
2024-03-26,1316492.38417884
2024-03-27,1313312.4154940094
2024-03-28,1315996.4734808945
2024-03-29,1321316.6332242733
2024-04-01,1325865.2138148367
2024-04-02,1326007.7987730962
2024-04-03,1327808.9649999586
2024-04-08,1329711.9475679437
2024-04-09,1331602.488875186
2024-04-10,1330952.2721454964
2024-04-11,1330471.110466462
2024-04-12,1334179.8277817545
2024-04-15,1333791.395687868
2024-04-16,1328196.0765577233
2024-04-17,1334345.5243530448
2024-04-18,1334882.0966048117
2024-04-19,1332723.7876748492
2024-04-22,1328712.1953946496
2024-04-23,1326721.0154472855
2024-04-24,1328116.5842763926
2024-04-25,1328624.1271333077
2024-04-26,1331476.984219767
2024-04-29,1330618.2883980472
2024-04-30,1332186.0621294274
2024-05-06,1337963.744977929
2024-05-07,1341334.0465840932
2024-05-08,1340047.8715615436
2024-05-09,1342279.9957349221
2024-05-10,1343521.7529606158
2024-05-13,1343624.0682349338
2024-05-14,1343086.4099385664
2024-05-15,1341743.5056936238
2024-05-16,1343848.761705357
2024-05-17,1345305.1913425936
2024-05-20,1350632.4115829782
2024-05-21,1348351.4777548008
2024-05-22,1349725.662922556
2024-05-23,1344961.6027518993
2024-05-24,1339840.6785697434
2024-05-27,1344815.4150097573
2024-05-28,1343451.9972464924
2024-05-29,1342879.7202618143
2024-05-30,1340241.61698808
2024-05-31,1339626.8588490975
2024-06-03,1337502.462873277
2024-06-04,1339916.7939827696
2024-06-05,1337686.8601063327
2024-06-06,1336695.2424599226
2024-06-07,1337177.5102516892
2024-06-11,1334225.1513660324
2024-06-12,1337366.4337881457
2024-06-13,1336786.6120574663
2024-06-14,1336987.06046849
2024-06-17,1336047.3287455605
2024-06-18,1338847.8612641238
2024-06-19,1336904.1871921269
2024-06-20,1333861.7896986431
2024-06-21,1331339.4498049517
2024-06-24,1323241.9291590652
2024-06-25,1322210.929742513
2024-06-26,1328816.5597712842
2024-06-27,1325729.3074130502
2024-06-28,1328920.9991215004
2024-07-01,1331349.5624564232
2024-07-02,1331262.0700396537
2024-07-03,1331471.7485140152
2024-07-04,1327185.2142194714
2024-07-05,1326907.4414517488
2024-07-08,1320643.7820622427
2024-07-09,1327743.02572829
2024-07-10,1324366.145200212
2024-07-11,1330027.488938482
2024-07-12,1326872.9979650695
2024-07-15,1328099.177317997
2024-07-16,1330642.403973299
2024-07-17,1328247.956594035
2024-07-18,1328297.8480633297
2024-07-19,1325675.7807686336
2024-07-22,1324042.4163710447
2024-07-23,1317461.099322451
2024-07-24,1313230.6987145322
