trade_date,nav_baseline
2023-05-16,1336420.9455049457
2023-05-17,1336282.6037303295
2023-05-18,1336878.4716580354
2023-05-19,1337271.9029180016
2023-05-22,1338767.2832275087
2023-05-23,1338681.0631831696
2023-05-24,1335730.4306811492
2023-05-25,1334385.407660904
2023-05-26,1335170.6137697122
2023-05-29,1336230.2541038946
2023-05-30,1337536.835020518
2023-05-31,1336789.8121713817
2023-06-01,1338355.66243591
2023-06-02,1341048.6162410667
2023-06-05,1340559.8971583617
2023-06-06,1338109.2608835073
2023-06-07,1338209.3413308305
2023-06-08,1337355.391356538
2023-06-09,1340827.5410072014
2023-06-12,1342329.4519295013
2023-06-13,1345632.487625718
2023-06-14,1345354.8997024393
2023-06-15,1346673.0602674582
2023-06-16,1347744.3177273057
2023-06-19,1345207.6864483787
2023-06-20,1344610.5047538714
2023-06-21,1340042.2811293385
2023-06-26,1335398.9372275341
2023-06-27,1337335.112461837
2023-06-28,1337611.8744560818
2023-06-29,1337406.924333612
2023-06-30,1340917.2965436913
2023-07-03,1345632.0923300784
2023-07-04,1345272.5337345346
2023-07-05,1344448.4155159194
2023-07-06,1343116.2524417057
2023-07-07,1341809.8743321083
2023-07-10,1342814.896402135
2023-07-11,1345186.7545545152
2023-07-12,1343060.6870927592
2023-07-13,1349237.269421942
2023-07-14,1348475.847184096
2023-07-17,1347409.627193481
2023-07-18,1348326.3394892514
2023-07-19,1350939.0245729445
2023-07-20,1347559.0920783735
2023-07-21,1346902.7246495557
2023-07-24,1345768.9486326273
2023-07-25,1350201.9399745483
2023-07-26,1350389.8812461612
2023-07-27,1351281.123347897
2023-07-28,1355348.638465919
2023-07-31,1357569.688709187
2023-08-01,1357745.0590355098
2023-08-02,1355123.0768480923
